Nummer,name_sanitized,long,lat,Name,Kürzel
4972,"Fürsteneck, Abzw Bf",13.470781,48.717882,"Fürsteneck, Abzw Bf",PFAB
4792,"Fürsteneck, Metzgerei Stegbauer",13.461119,48.7209698,"Fürsteneck, Metzgerei Stegbauer",4792
4320,Voglöd bei Prag,13.4729365,48.7142295,Voglöd bei Prag,PVOG
4887,"Guttenhofen, Abzw",13.52781,48.7149835,"Guttenhofen, Abzw",PAGH
4429,"Künzing, Römerbad Quintana",13.0957065,48.6671511,"Künzing, Römerbad Quintana",4429
4633,Gatzerreuth,13.424887,48.732008,Gatzerreuth,4633
4632,Ilzrettenbach,13.4295445,48.726307,Ilzrettenbach,4632
4631,Kafering,13.436059,48.7181935,Kafering,4631
4634,Rappenhof,13.414531,48.7365645,Rappenhof,4634
4635,"Witzingerreuth, Abzw",13.4053755,48.741483,"Witzingerreuth, Abzw",4635
4629,"Enzersdorf, Kirche",13.421789,48.7128165,"Enzersdorf, Kirche",4629
4630,Spitzendorf,13.438474500000002,48.7137985,Spitzendorf,4630
4628,Witzmannsberg bei Tittling,13.4133115,48.7145915,Witzmannsberg bei Tittling,PDWI
4569,"Bichlberg, Abzw",13.201752,48.6870805,"Bichlberg, Abzw",4569
4573,Hofstetten bei Eging,13.2389455,48.695181000000005,Hofstetten bei Eging,PAHO
4328,Jederschwing,13.233732,48.704709,Jederschwing,4328
4324,Kroißenhof,13.2429615,48.70805,Kroißenhof,4324
4327,Kroißenmühle,13.238779999999998,48.707368,Kroißenmühle,4327
4572,"Mühlreit, Abzw",13.230251,48.6955865,"Mühlreit, Abzw",4572
4574,"Otting, Abzw",13.250328,48.6963085,"Otting, Abzw",4574
4571,Rannetsreit,13.216161,48.691444,Rannetsreit,4571
16066,Alzenhof,13.2514657,48.7204665,Alzenhof,16066
12425,Eging am See,13.272393,48.7123744,Eging am See,12425
938,"Eging, Abzw Kurhaus",13.280303,48.718139,"Eging, Abzw Kurhaus",PEAK
5527,"Eging, Auto Osterer",13.266503,48.7144765,"Eging, Auto Osterer",5527
5528,"Eging, Bahnhof",13.279159,48.712822,"Eging, Bahnhof",PDEB
4545,"Eging, Gh. z. Linde",13.264199,48.711156,"Eging, Gh. z. Linde",PDEL
4546,"Eging, Marktplatz",13.270357,48.712498,"Eging, Marktplatz",PAEM
4547,"Eging, Postamt",13.275091499999998,48.713816,"Eging, Postamt",PAEP
16065,"Eging, Wiesenweg",13.2765266,48.7057297,"Eging, Wiesenweg",16065
4627,Harmering,13.2930185,48.7226095,Harmering,PHAR
4926,Hörmannsdorf bei Thannberg,13.2763545,48.735582,Hörmannsdorf bei Thannberg,PHÖT
16085,Kollmering,13.2294387,48.7615101,Kollmering,16085
4575,"Loipfering, Abzw",13.2606315,48.7039875,"Loipfering, Abzw",PLOA
4323,"Loipfering, Ort",13.2575145,48.705803,"Loipfering, Ort",PLPO
4552,Neuloipfering,13.260635,48.7039885,Neuloipfering,4552
4549,"Neuloipfering, Endl",13.259673,48.699552,"Neuloipfering, Endl",4549
4544,Ruberting/Pullman City,13.2608425,48.6973565,Ruberting/Pullman City,PRPC
4560,"Englburg, Abzw",13.337515,48.7252345,"Englburg, Abzw",4560
4624,"Fürstenstein, Abzw Bf",13.335158,48.7163145,"Fürstenstein, Abzw Bf",4624
4559,"Fürstenstein, Abzw Schloß",13.3337427,48.7215166,"Fürstenstein, Abzw Schloß",4559
4558,"Fürstenstein, Gh. Kerber",13.328491,48.71937,"Fürstenstein, Gh. Kerber",4558
4557,"Fürstenstein, Raiffeisenbank",13.329645,48.7170605,"Fürstenstein, Raiffeisenbank",PAFR
10173,"Fürstenstein, Rathaus",13.329348,48.7156495,"Fürstenstein, Rathaus",PFRH
11056,"Fürstenstein, XXXLutz",13.326301333333332,48.71679633333334,"Fürstenstein, XXXLutz",11056
1132,Hinterberg bei Fürstenstein,13.3428395,48.71292,Hinterberg bei Fürstenstein,1132
16070,Kollnberg,13.3179629,48.7339757,Kollnberg,16070
4622,"Oberpolling, Gh Weber",13.347834,48.7074575,"Oberpolling, Gh Weber",PAOW
4625,Peigerting,13.318056,48.719888,Peigerting,4625
4626,Reutherfurth,13.3091185,48.7268765,Reutherfurth,4626
16416,Reutherfurth-Oed,13.3065221,48.7272743,Reutherfurth-Oed,16416
4561,Eisensteg,13.355014,48.7312515,Eisensteg,4561
16084,Gneisting bei Tittling,13.360614990787074,48.7229761,Gneisting b. Tittling,16084
4637,Hörmannsdorf bei Tittling,13.377995,48.7418015,Hörmannsdorf bei Tittling,PHÖR
4621,Kapfham bei Fürstenstein,13.3479375,48.692735,Kapfham bei Fürstenstein,4621
16075,Kothingrub,13.3959337,48.7524532,Kothingrub,16075
4636,Loizersdorf,13.391865,48.7426105,Loizersdorf,4636
4618,Preming,13.3766705,48.717893,Preming,PPMG
8079,Roitham,13.393573,48.71671,Roitham,8079
11166,Schneidermühle,13.403634,48.756304,Schneidermühle,11166
4620,Stockreuth,13.35798,48.686856,Stockreuth,PSRT
16073,Stützersdorf,13.3712894,48.7486518,Stützersdorf,16073
4449,Taubenweid,13.352778,48.727354,Taubenweid,4449
12438,Tittling,13.3806245,48.7278412,Tittling,12438
0,Tittling Eurospar,13.3791801,48.7218468,Tittling Eurospar,0
4562,"Tittling, Altersheim",13.3741585,48.730411,"Tittling, Altersheim",PTIA
5791,"Tittling, Hötzendorf",13.367252,48.731170500000005,"Tittling, Hötzendorf",5791
4563,"Tittling, Marktplatz",13.3804315,48.728014,"Tittling, Marktplatz",PATM
5575,"Tittling, Realschule",13.377548,48.728247,"Tittling, Realschule",PTRS
16079,Trasfelden,13.4015947,48.7321877,Trasfelden,16079
4617,Wildenberg bei Tittling,13.374587,48.7130345,Wildenberg bei Tittling,4617
5569,"Farnham, Abzw",13.4038215,48.710338,"Farnham, Abzw",PDFH
8078,"Höherberg, Abzw",13.412808,48.695647,"Höherberg, Abzw",8078
5570,Stallham,13.4098425,48.7008165,Stallham,5570
4568,Garham bei Vilshofen,13.1967205,48.684679,Garham bei Vilshofen,PAGA
4566,Reitern,13.182652,48.67779899999999,Reitern,4566
4567,Solla,13.1883545,48.6829545,Solla,4567
4553,Renholding bei Aicha(Autobahn),13.263831,48.667044,Renholding b.Aicha(Autobahn),PREN
