Haltestellenname,route,name_sanitized
"Erlau, Feuerwehrhaus",6101,"Erlau, Feuerwehrhaus"
"Passau, Hbf",6101,"Passau, Hbf"
"Passau, Am Schanzlturm",6101,"Passau, Am Schanzlturm"
"Passau, Nagelschmiedgasse",6101,"Passau, Nagelschmiedgasse"
"Passau, Rathaus",6101,"Passau, Rathaus"
"Passau, Römerplatz",6101,"Passau, Römerplatz"
"Passau, Aufischer",6101,"Passau, Aufischer"
"Passau, Zahnradfabrik, Werk 1",6101,"Passau, Zahnradfabrik, Werk 1"
"Passau, Lindau",6101,"Passau, Lindau"
Löwmühle,6101,Löwmühle
Kernmühle,6101,Kernmühle
"Erlau, Ortsmitte",6101,"Erlau, Ortsmitte"
"Obernzell, Fa. Bauer",6101,"Obernzell, Fa. Bauer"
"Obernzell, Abzw Bf",6101,"Obernzell, Abzw Bf"
"Obernzell, Marktplatz",6101,"Obernzell, Marktplatz"
"Obernzell, Fähre",6101,"Obernzell, Fähre"
"Obernzell, Bachstr.",6101,"Obernzell, Bachstr."
Kohlbachmühle,6101,Kohlbachmühle
Grünau,6101,Grünau
"Jochenstein, Kraftwerk",6101,"Jochenstein, Kraftwerk"
"Jochenstein, Ort",6101,"Jochenstein, Ort"
"Untergriesbach, West",6101,"Untergriesbach, West"
"Untergriesbach, Marktplatz",6101,"Untergriesbach, Marktplatz"
"Untergriesbach, Gymnasium",6101,"Untergriesbach, Gymnasium"
"Untergriesbach, Verbandsschule",6101,"Untergriesbach, Verbandsschule"
"Untergriesbach, Marktstraße",6101,"Untergriesbach, Marktstraße"
"Untergriesbach, Stefflhäusl",6101,"Untergriesbach, Stefflhäusl"
Diendorf,6101,Diendorf
Lämmersdorf,6101,Lämmersdorf
Unteröd,6101,Unteröd
Oberöd,6101,Oberöd
Ramesberg,6101,Ramesberg
"Gottsdorf, Bad",6101,"Gottsdorf, Bad"
Gottsdorf,6101,Gottsdorf
Ficht-Oberötzdorf Abzw,6101,Ficht-Oberötzdorf Abzw
Wildenranna,6101,Wildenranna
Pölzöd,6101,Pölzöd
Petermühle,6101,Petermühle
"Maierhoferbrücke, Rannasee",6101,"Maierhoferbrücke, Rannasee"
Maierhofbrücke II,6101,Maierhofbrücke II
Maierhof bei Wildenranna,6101,Maierhof bei Wildenranna
"Kappel, Abzw",6101,"Kappel, Abzw"
Eidenberg,6101,Eidenberg
Hartmannsreuth,6101,Hartmannsreuth
"Wegscheid, Abzw Aiglsöd",6101,"Wegscheid, Abzw Aiglsöd"
"Wegscheid, Bf",6101,"Wegscheid, Bf"
"Mitterwasser, Abzw",6101,"Mitterwasser, Abzw"
Niederwegscheid,6101,Niederwegscheid
"Wegscheid, Abzw Bf",6101,"Wegscheid, Abzw Bf"
"Wegscheid, Rathaus",6101,"Wegscheid, Rathaus"
"Wegscheid, Krankenhaus",6101,"Wegscheid, Krankenhaus"
"Wasserstatt, Richtermühle",6101,"Wasserstatt, Richtermühle"
Kramerschlag,6101,Kramerschlag
Meßnerschlag,6101,Meßnerschlag
Meßnerschlagerwaide,6101,Meßnerschlagerwaide
"Lacken, Ort",6101,"Lacken, Ort"
Moorwirtschaft,6101,Moorwirtschaft
"Lacken, Anwesen Felber",6101,"Lacken, Anwesen Felber"
Geigerkreuz,6101,Geigerkreuz
"Mühldemmelberg, Abzw",6101,"Mühldemmelberg, Abzw"
Simmelkurve,6101,Simmelkurve
Thalberg,6101,Thalberg
"Hangerleiten, Kronawitterkapelle",6101,"Hangerleiten, Kronawitterkapelle"
Hangerleiten,6101,Hangerleiten
"Gollnerberg, Schule",6101,"Gollnerberg, Schule"
"Gollnerberg, Schuhkapelle",6101,"Gollnerberg, Schuhkapelle"
Weidinger-Holz,6101,Weidinger-Holz
Stampferbrücke,6101,Stampferbrücke
"Breitenberg, Passauer-Str.",6101,"Breitenberg, Passauer-Str."
"Passau, Hbf",6102,"Passau, Hbf"
"Passau, Am Schanzlturm",6102,"Passau, Am Schanzlturm"
"Passau, Nagelschmiedgasse",6102,"Passau, Nagelschmiedgasse"
"Passau, Rathaus",6102,"Passau, Rathaus"
"Passau, Römerplatz",6102,"Passau, Römerplatz"
"Passau, Aufischer",6102,"Passau, Aufischer"
"Passau, Zahnradfabrik, Werk 1",6102,"Passau, Zahnradfabrik, Werk 1"
"Passau, Lindau",6102,"Passau, Lindau"
Löwmühle,6102,Löwmühle
Kernmühle,6102,Kernmühle
"Erlau, Feuerwehrhaus",6102,"Erlau, Feuerwehrhaus"
"Erlau, Ortsmitte",6102,"Erlau, Ortsmitte"
"Obernzell, Fa. Bauer",6102,"Obernzell, Fa. Bauer"
"Obernzell, Abzw Bf",6102,"Obernzell, Abzw Bf"
"Obernzell, Marktplatz",6102,"Obernzell, Marktplatz"
"Obernzell, Bachstr.",6102,"Obernzell, Bachstr."
"Haar, Kapelle",6102,"Haar, Kapelle"
"Haar, Waidwiesweg",6102,"Haar, Waidwiesweg"
Nottau bei Obernzell,6102,Nottau bei Obernzell
Rackling,6102,Rackling
"Rothenkreuz, Abzw",6102,"Rothenkreuz, Abzw"
Steinbruck,6102,Steinbruck
Taubing,6102,Taubing
"Schaibing, Abzw",6102,"Schaibing, Abzw"
Neu-Ziering,6102,Neu-Ziering
"Haunersdorf, Abzw Pfaffenreut",6102,"Haunersdorf, Abzw Pfaffenreut"
Würmholz,6102,Würmholz
"Untergriesbach, West",6102,"Untergriesbach, West"
"Untergriesbach, Verbandsschule",6102,"Untergriesbach, Verbandsschule"
"Untergriesbach, Marktplatz",6102,"Untergriesbach, Marktplatz"
"Untergriesbach, Gymnasium",6102,"Untergriesbach, Gymnasium"
Stampferbrücke,6102,Stampferbrücke
Weidinger-Holz,6102,Weidinger-Holz
"Gollnerberg, Schuhkapelle",6102,"Gollnerberg, Schuhkapelle"
"Gollnerberg, Schule",6102,"Gollnerberg, Schule"
Hangerleiten,6102,Hangerleiten
"Hangerleiten, Kronawitterkapelle",6102,"Hangerleiten, Kronawitterkapelle"
Thalberg,6102,Thalberg
Simmelkurve,6102,Simmelkurve
"Mühldemmelberg, Abzw",6102,"Mühldemmelberg, Abzw"
Geigerkreuz,6102,Geigerkreuz
"Lacken, Anwesen Felber",6102,"Lacken, Anwesen Felber"
Moorwirtschaft,6102,Moorwirtschaft
"Lacken, Ort",6102,"Lacken, Ort"
Meßnerschlagerwaide,6102,Meßnerschlagerwaide
