created_at,travel_at,from_place,to_place
01.01.2019 10:34,01.01.2019 19:00,Passau,Salzweg
01.01.2019 10:35,02.01.2019 06:46,Passau,Salzweg
01.01.2019 10:35,01.01.2019 17:20,Passau,Salzweg
01.01.2019 11:57,02.01.2019 05:57,Wegscheid,Passau
01.01.2019 11:57,02.01.2019 05:37,Wegscheid,Passau
01.01.2019 11:57,02.01.2019 05:31,Wegscheid,Passau
01.01.2019 12:01,02.01.2019 05:40,Wegscheid,Passau
01.01.2019 12:01,02.01.2019 05:31,Wegscheid,Passau
01.01.2019 13:56,02.01.2019 13:55,Illertissen - Tiefenbach,Tiefenbach
01.01.2019 13:56,02.01.2019 13:55,Illertissen - Tiefenbach,Tiefenbach
01.01.2019 13:56,02.01.2019 21:10,Illertissen - Tiefenbach,Tiefenbach
01.01.2019 13:57,03.01.2019 00:15,Illertissen - Tiefenbach,Tiefenbach
01.01.2019 19:49,03.01.2019 15:27,Passau,Tittling
01.01.2019 19:49,03.01.2019 17:22,Passau,Tittling
01.01.2019 19:49,03.01.2019 14:46,Passau,Tittling
01.01.2019 21:53,02.01.2019 18:30,Neuburg a. Inn,Passau
01.01.2019 21:53,02.01.2019 20:59,Neuburg a. Inn,Passau
01.01.2019 21:53,02.01.2019 17:40,Neuburg a. Inn,Passau
01.01.2019 21:54,02.01.2019 15:21,Neuburg a. Inn,Passau
01.01.2019 21:54,02.01.2019 12:56,Neuburg a. Inn,Passau
01.01.2019 21:54,02.01.2019 06:45,Salzweg,Passau
01.01.2019 21:54,02.01.2019 09:37,Salzweg,Passau
01.01.2019 21:54,02.01.2019 18:30,Neuburg a. Inn,Passau
01.01.2019 21:55,03.01.2019 07:04,Neuburg a. Inn,Passau
01.01.2019 21:55,02.01.2019 18:07,Neuburg a. Inn,Passau
01.01.2019 21:55,01.01.2019 21:10,Salzweg,Passau
02.01.2019 06:16,02.01.2019 06:15,Salzweg,Passau
02.01.2019 06:16,01.01.2019 21:10,Salzweg,Passau
02.01.2019 06:16,02.01.2019 08:51,Salzweg,Passau
02.01.2019 08:00,02.01.2019 08:00,Neuburg am Inn - Neukirchen am Inn,Passau
02.01.2019 10:30,02.01.2019 12:29,Hutthurm,Passau
02.01.2019 10:30,02.01.2019 13:52,Hutthurm,Passau
02.01.2019 10:30,02.01.2019 16:19,Hutthurm,Passau
02.01.2019 10:46,02.01.2019 12:26,Untergriesbach,Passau
02.01.2019 10:46,02.01.2019 14:00,Passau,Untergriesbach
02.01.2019 10:46,02.01.2019 13:49,Passau,Untergriesbach
02.01.2019 11:10,02.01.2019 14:10,Fürstenzell,Passau
02.01.2019 11:10,02.01.2019 14:21,Fürstenzell,Passau
02.01.2019 11:11,02.01.2019 14:10,Fürstenzell,Passau
02.01.2019 11:11,02.01.2019 14:21,Fürstenzell,Passau
02.01.2019 12:04,02.01.2019 19:04,Neuburg a. Inn,Passau
02.01.2019 12:04,02.01.2019 18:58,Neuburg a. Inn,Passau
02.01.2019 12:04,03.01.2019 06:09,Neuburg a. Inn,Passau
02.01.2019 12:04,02.01.2019 17:37,Neuburg a. Inn,Passau
02.01.2019 12:05,02.01.2019 19:30,Neuburg a. Inn,Passau
02.01.2019 12:05,02.01.2019 20:05,Neuburg a. Inn,Passau
